Address,Latitude,Longitude,APC,LP,PDP,NNPP
"ST. CHARLE'S SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"AMANKWU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,3,142,0,1
"COOPERATIVE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"OCHIEOBU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,124,4,1
"OYE MOTOR PARK II, AGUATA, ANAMBRA",5.9656205,7.1191062,4,57,0,0
"OYE MOTOR PARK III, AGUATA, ANAMBRA",5.9656205,7.1191062,0,98,1,0
"COUNCIL HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,57,3,0
"OBINIKPA PRY. SCHOOL, UMEUZEIYI I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,89,1,3
"OBINIKPA PRY. SCHOOL, UMEUZEIYI II, AGUATA, ANAMBRA",6.0085842,7.1009488,3,47,1,0
"PROGRESSIVE SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,173,2,2
"UMUELEKE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,117,2,1
"GIRLS SECONDARY SCHOOL I, AGUATA, ANAMBRA",6.0065532,7.0262256,1,118,3,0
"GIRLS SECONDARY SCHOOL II, AGUATA, ANAMBRA",6.0065532,7.0262256,1,34,3,0
"AMANWAFOR SQUARE I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,117,1,3
"AMANWAFOR SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,63,2,0
"AMANWAFOR/ABUDUM SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,98,4,1
"AMANWAFOR SQUARE III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,43,1,1
"OBINIKPA PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,52,2,0
"OBINIKPA PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,3,59,0,0
"UGWUOCHA SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,54,3,0
"UMUELEKE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,58,0,0
"UDARA-EKE SQUARE, AGUATA, ANAMBRA",6.0120647,7.0881293,1,84,2,2
"PROGRESSIVE SCH. II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,141,4,0
"CENTRAL SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,4,254,3,3
"CENTRAL SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,4,227,2,4
"TOWN HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,160,2,2
"TOWN HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,96,0,1
"OBIOFIA PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,30,0,0
"PRY. SCHOOL, AGULUEZE CHUKWU II, AGUATA, ANAMBRA",6.0163611,7.1090215,1,110,4,1
"LONDON SCIENCE I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,115,4,0
"LONDON SCIENCE I, AGUATA, ANAMBRA",6.0085842,7.1009488,3,69,6,0
"LONDON SCIENCE III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,69,2,0
"LONDON SCIENCE III, AGUATA, ANAMBRA",6.0085842,7.1009488,1,104,3,4
"AKPO TOWN HALL I, AGUATA, ANAMBRA",5.9799388,7.1073396,0,207,4,2
"AKPO TOWN HALL II, AGUATA, ANAMBRA",5.9799388,7.1073396,1,175,6,2
"UMUEZE VILLAGE SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,2,190,1,0
"EGBUIKE PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,190,1,0
"AGBAELU VILLAGE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,127,1,0
"UHUALA HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,15,109,3,0
"CENTRAL SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,125,3,1
"CENTRAL SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,97,4,0
"CENTRAL SCHOOL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,132,2,1
"CENTRAL SCHOOL IV, AGUATA, ANAMBRA",6.0085842,7.1009488,2,121,2,0
"CENTRAL SCHOOL IV, AGUATA, ANAMBRA",6.0085842,7.1009488,2,117,1,1
"COMMUNITY PRY. SCHOOL I, AGUATA, ANAMBRA",6.0053243,7.0991283,0,128,0,0
"COMMUNITY PRY. SCHOOL II, AGUATA, ANAMBRA",6.0053243,7.0991283,0,101,0,0
"COMMUNITY PRY. SCHOOL III, AGUATA, ANAMBRA",6.0053243,7.0991283,0,72,1,0
"COMMUNITY PRY. SCHOOL IV, AGUATA, ANAMBRA",6.0053243,7.0991283,0,77,0,0
"SOCIAL CENTRE I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,92,0,0
"SOCIAL CENTRE I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,92,0,0
"SOCIAL CENTRE I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,93,0,0
"SOCIAL CENTRE IV, AGUATA, ANAMBRA",6.0085842,7.1009488,0,80,0,0
"SOCIAL CENTRE V, AGUATA, ANAMBRA",6.0085842,7.1009488,0,72,0,0
"OFOSIE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"OFOSIE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,251,0,1
"UMUEZE NWAFOR PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,230,1,2
"AMAUDO UMUOWELE, AGUATA, ANAMBRA",6.1304007,7.0364022,0,333,1,0
"AMAUDO UMUOWELE, AGUATA, ANAMBRA",6.1304007,7.0364022,0,197,0,0
"AMAUDO UMUOWELE, AGUATA, ANAMBRA",6.1304007,7.0364022,0,0,199,0
"UMUEZENNANI HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,290,1,2
"EZEZUEGBU SQUARE (OPEN SPACE), AGUATA, ANAMBRA",6.0085842,7.1009488,3,223,4,2
"PARAGON PHARMACY I (OPEN SPACE), AGUATA, ANAMBRA",6.0246408,7.0794152,2,78,0,0
"PARAGON PHARMACY I (OPEN SPACE), AGUATA, ANAMBRA",6.0246408,7.0794152,1,176,0,0
"IHUOKPALA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,216,0,0
"IHUOKPALA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,185,0,1
"OBI-NKWO SQUARE II, AGUATA, ANAMBRA",6.0103107,7.1050751,5,110,1,1
"AMAUDO SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,152,1,1
"EZEKANNAGHA SQUARE I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,177,0,0
"EZEKANNAGHA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,188,2,0
"EZIAGULU PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,226,1,2
"NWANEBO PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,309,1,0
"NWANEBO PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,209,0,0
"NWANEBO PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,112,1,0
"G.S.S. EKWULOBIA, AGUATA, ANAMBRA",6.0256442,7.0770727,0,170,1,0
"EZIAGULU VILLAGE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,159,0,0
"EZIAGULU HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,209,8,1
"EKEMEZIE SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,107,0,0
"AGBA PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,165,2,1
"DELIGHT INT. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,138,0,0
"UMUOMA HALL, AGUATA, ANAMBRA",5.784066,6.833425,2,206,0,3
"HEALTH CENTRE, AGUATA, ANAMBRA",5.9606744,7.1342039,0,130,0,2
"HEALTH CENTRE, AGUATA, ANAMBRA",5.9606744,7.1342039,0,100,1,0
"EZEILOEGBUNA SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,56,1,0
"TOWN HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,6,193,6,0
"TOWN HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,5,150,5,0
"AKPUNOJI COMMUNITY SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,6,123,17,2
"IGWEBUIKE PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,7,237,7,5
"IGWEBUIKE PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,3,113,4,3
"OLD AKPUNOJI I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,130,0,0
"UMUAGU KINDERGATIN I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,117,4,0
"UMUAGU KINDERGATIN II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,72,3,0
"OGBUGBAOGU PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,101,0,0
"B.S.S., AGUATA, ANAMBRA",6.0085842,7.1009488,1,79,2,0
"ANULI PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,243,1,0
"ANULI PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,243,2,3
"NWAHIA KINDER SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,4,149,4,3
"EZIHU/AFOR, AGUATA, ANAMBRA",6.0085842,7.1009488,2,99,8,2
"OZALLA CENTRE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,140,15,0
"UMUOBI KINDER SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,153,30,0
"UMUEZENWA CENTRE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,116,1,0
"PRIMARY SCHOOL OBIUNO I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,142,0,0
"OBIUNO YOUTHS CENTRE I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,154,1,0
"OBIUNO YOUTHS CENTRE II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,33,1,2
"AMAKPU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,179,3,0
"PRY. SCHOOL, NGO, AGUATA, ANAMBRA",6.0121545,7.0073806,1,136,4,3
"MGBENDO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"MGBENDO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,126,1,2
"EZEKWEKA HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,98,1,1
"AMAUDO/AKUKWA SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,2,111,0,0
"NGO SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,76,6,0
"EZEACHAOKE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,121,1,3
"UMUAZUCHAOKE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,114,0,1
"TOWN SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,131,2,2
"OBIGBO C.S, AGUATA, ANAMBRA",6.0044402,7.0181304,0,81,2,0
"UMUNONO HALL, AGUATA, ANAMBRA",6.1819033,7.0641674,0,98,0,0
"OGWUGWUAGU PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,78,0,1
"TOWN HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,89,2,2
"G. S. S. IGBO UKWU II, AGUATA, ANAMBRA",6.0122865,7.0175879,1,78,0,1
"IHITE PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,76,0,0
"IHITE PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,100,0,0
"UMUDEGE CIVIC CENTRE I, AGUATA, ANAMBRA",6.0017432,7.0291043,3,167,1,3
